Trial name	epochs	loss	max accuracy	test accuracy	val accuracy
train_model_raytune_056a6_00185	9	6.92173	0.688071	0.66117	0.688071
train_model_raytune_056a6_00186	29	5.19561	0.774611	0.788629	0.774611
train_model_raytune_056a6_00187	9	5.84936	0.743315	0.7351	0.743315
train_model_raytune_056a6_00188	9	5.71969	0.752777	0.754007	0.752777
train_model_raytune_056a6_00189	9	5.85139	0.74501	0.75243	0.74501
train_model_raytune_056a6_00190	29	5.17568	0.776806	0.778698	0.776806
train_model_raytune_056a6_00191	29	5.16385	0.77659	0.787295	0.775848
train_model_raytune_056a6_00192	9	5.97237	0.741361	0.737338	0.741361
train_model_raytune_056a6_00193	9	50.1288	0	0	0
train_model_raytune_056a6_00194	9	6.05072	0.73602	0.738663	0.73602
train_model_raytune_056a6_00195	9	5.64327	0.750889	0.760781	0.750889
train_model_raytune_056a6_00196	9	9.82323	0.441895	0.440513	0.441756
train_model_raytune_056a6_00197	9	6.02657	0.737184	0.738774	0.737184
train_model_raytune_056a6_00198	9	6.55721	0.699677	0.712586	0.699677
train_model_raytune_056a6_00199	9	11.948	0.441853	0.444259	0.441853
train_model_raytune_056a6_00200	19	5.42593	0.764242	0.780276	0.764196
train_model_raytune_056a6_00201	9	5.8234	0.747095	0.768338	0.747095
train_model_raytune_056a6_00202	29	5.07306	0.780372	0.786692	0.780268
train_model_raytune_056a6_00203	9	5.72191	0.752523	0.748241	0.752523
train_model_raytune_056a6_00204	29	5.21144	0.777335	0.780048	0.777335
train_model_raytune_056a6_00205	29	5.23675	0.773887	0.785026	0.773887
train_model_raytune_056a6_00206	19	5.66258	0.758365	0.786573	0.756695
train_model_raytune_056a6_00207	9	5.74484	0.749875	0.756469	0.749875
train_model_raytune_056a6_00208	19	5.49214	0.760346	0.767557	0.760346
train_model_raytune_056a6_00209	19	5.39822	0.76603	0.776119	0.76603
train_model_raytune_056a6_00210	9	5.97933	0.740249	0.738342	0.740249
train_model_raytune_056a6_00211	29	5.19115	0.775877	0.788916	0.775877
